alpha,coverage,average_size,qhat,avg_avg_size
0.1,0.897716894977169,9.025570776255707,0.8707967901229858,
0.1,0.9112328767123288,9.202922374429225,0.88125671005249,
0.1,0.9052054794520548,9.120730593607306,0.8787434329986571,
0.1,0.8995433789954338,9.117808219178082,0.8757919044494629,
0.1,0.9046575342465754,9.17461187214612,0.8786119575500486,
0.1,0.896255707762557,8.949954337899543,0.8702775573730469,
0.1,0.9055707762557078,9.186301369863013,0.8788196506500242,
0.1,0.9114155251141552,9.245296803652968,0.8814701194763181,
0.1,0.8964383561643836,8.999269406392694,0.8701136894226076,
0.1,0.9063013698630137,9.156712328767123,0.8789616060256956,
,,,,9.117917808219179
