alpha,coverage,average_size,qhat,avg_avg_size
0.1,0.9046575342465754,9.04986301369863,0.8910459146499634,
0.1,0.8947945205479452,8.866849315068492,0.8865062007904053,
0.1,0.9156164383561644,9.11945205479452,0.8964325971603394,
0.1,0.903013698630137,9.042739726027397,0.8908782358169556,
0.1,0.8882191780821918,8.776986301369863,0.8844235534667968,
0.1,0.8958904109589041,8.825753424657535,0.8866367235183716,
0.1,0.9156164383561644,9.185753424657534,0.8964325971603394,
0.1,0.9057534246575343,8.955068493150685,0.8911449975967407,
0.1,0.9063013698630137,8.931506849315069,0.8911735792160034,
0.1,0.907945205479452,9.056986301369863,0.8946967401504515,
,,,,8.981095890410959
