alpha,coverage,average_size,qhat,avg_avg_size
0.1,0.9035616438356164,9.074520547945205,0.8953121976852417,
0.1,0.8942465753424658,8.855890410958905,0.8888498935699463,
0.1,0.9117808219178082,9.100821917808219,0.8992326431274416,
0.1,0.9035616438356164,9.04986301369863,0.8945805082321167,
0.1,0.8882191780821918,8.791232876712328,0.8876237421035766,
0.1,0.8958904109589041,8.823561643835616,0.889482500076294,
0.1,0.915068493150685,9.191232876712329,0.8999719543457032,
0.1,0.9046575342465754,8.982465753424657,0.8955179853439331,
0.1,0.9057534246575343,9.0,0.8974567718505859,
0.1,0.907945205479452,9.07123287671233,0.8982465772628785,
,,,,8.994082191780823
