alpha,coverage,average_size,qhat,avg_avg_size
0.1,0.9041095890410958,9.052054794520547,0.8929122943878173,
0.1,0.8936986301369862,8.862465753424658,0.8877066287994385,
0.1,0.9128767123287671,9.111780821917808,0.8978959760665893,
0.1,0.9035616438356164,9.047123287671234,0.8927798662185668,
0.1,0.8882191780821918,8.785753424657534,0.8860231714248656,
0.1,0.896986301369863,8.83123287671233,0.8882496795654297,
0.1,0.9156164383561644,9.189041095890412,0.8983323221206665,
0.1,0.9057534246575343,8.966575342465754,0.8933448295593263,
0.1,0.9063013698630137,8.942465753424658,0.8933734111785888,
0.1,0.9068493150684932,9.072876712328767,0.8967860565185546,
,,,,8.98613698630137
