alpha,coverage,average_size,qhat,avg_avg_size
0.1,0.8964383561643836,9.03525114155251,0.8789158754348753,
0.1,0.9095890410958904,9.21662100456621,0.88988645362854,
0.1,0.9046575342465754,9.149954337899544,0.8877485485076905,
0.1,0.9028310502283104,9.042191780821918,0.880512635231018,
0.1,0.9017351598173516,9.03744292237443,0.8802211027145384,
0.1,0.896986301369863,8.975342465753425,0.8789806604385375,
0.1,0.9070319634703197,9.240730593607307,0.8891576223373412,
0.1,0.9106849315068493,9.25461187214612,0.8899883947372438,
0.1,0.8955251141552512,9.017899543378995,0.8787662982940673,
0.1,0.9059360730593607,9.203652968036529,0.8888394136428833,
,,,,9.117369863013698
