alpha,coverage,average_size,qhat,avg_avg_size
0.1,0.9017351598173516,15.227762557077625,0.8454923610687256,
0.1,0.8889497716894977,14.999086757990868,0.8370463809967041,
0.1,0.9081278538812786,15.2862100456621,0.8494250621795654,
0.1,0.8955251141552512,15.034155251141552,0.8416310424804687,
0.1,0.890958904109589,15.022648401826483,0.8382646427154541,
0.1,0.9013698630136986,15.13716894977169,0.8452953453063965,
0.1,0.9042922374429224,15.293333333333333,0.8476043319702148,
0.1,0.891324200913242,15.075616438356164,0.8384131183624267,
0.1,0.8968036529680365,15.164931506849316,0.8422744369506835,
0.1,0.8832876712328767,14.814429223744293,0.8287469730377198,
,,,,15.105534246575342
