alpha,coverage,average_size,qhat,avg_avg_size
0.1,0.897716894977169,9.025570776255707,0.870796989440918,
0.1,0.9123287671232877,9.237625570776256,0.8816661682128907,
0.1,0.9010045662100457,9.138264840182648,0.8769615840911865,
0.1,0.8953424657534247,8.945388127853882,0.8699632415771483,
0.1,0.8989954337899544,9.104109589041096,0.8747363529205322,
0.1,0.9092237442922374,9.184657534246575,0.8806287422180177,
0.1,0.9002739726027398,9.138447488584475,0.8762753601074219,
0.1,0.8978995433789955,9.01351598173516,0.8708027000427248,
0.1,0.8904109589041096,8.941735159817352,0.86914186668396,
0.1,0.896255707762557,8.920182648401827,0.8701126689910889,
,,,,9.064949771689498
